flowId,label,domain,owner_surface,visible_surfaces,route_screen_component,source_file,reachable,duplicate,contradiction,hidden_compat,should_be_visible,should_be_on_demand,current_on_demand_status,notes
client_dsh_store_items_view,client_dsh_store_items_view,catalog/inventory,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
client_dsh_wallet_hub_view,client_dsh_wallet_hub_view,finance,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
command-center-captain-cover,command center captain cover,order/delivery,control-panel,control-panel,dsh/frontend/control-panel/operations/operations.preview-data.ts,dsh/frontend/control-panel/operations/operations.preview-data.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
command-center-open-orders,command center open orders,order/delivery,control-panel,control-panel,dsh/frontend/control-panel/operations/operations.preview-data.ts,dsh/frontend/control-panel/operations/operations.preview-data.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
control-panel-border,control panel border,order/delivery,ui-kit,ui-kit,ui-kit/src/foundation.ts,ui-kit/src/foundation.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
control-panel-border-strong,control panel border strong,order/delivery,ui-kit,ui-kit,ui-kit/src/foundation.ts,ui-kit/src/foundation.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
control-panel-catalog,control panel catalog,catalog/inventory,shared,shared,dsh/frontend/shared/catalog-adoption.preview-store.ts | dsh/frontend/shared/marketing-review.preview-store.ts | dsh/frontend/shared/workflow.ts,dsh/frontend/shared/catalog-adoption.preview-store.ts,TBD,yes,TBD,no,TBD,yes,TBD,23 refs across 3 files
control-panel-field,control panel field,other,ui-kit,ui-kit,ui-kit/src/foundation.ts,ui-kit/src/foundation.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
control-panel-field-border,control panel field border,order/delivery,ui-kit,ui-kit,ui-kit/src/foundation.ts,ui-kit/src/foundation.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
control-panel-partners,control panel partners,other,shared/multi,control-panel|shared,dsh/frontend/control-panel/partners/ControlPanelDshPartnerApprovalsScreen.tsx | dsh/frontend/shared/dshStoreProductCardModel.ts | dsh/frontend/shared/workflow.ts,dsh/frontend/control-panel/partners/ControlPanelDshPartnerApprovalsScreen.tsx,TBD-static-refs,yes,TBD,no,TBD,TBD,TBD,14 refs across 3 files
courier_per_delivery_payout,courier_per_delivery_payout,order/delivery,app-partner,app-partner,dsh/frontend/app-partner/contracts/dsh-partner-binding.contracts.ts | dsh/frontend/app-partner/screens/DshPartnerStoreCourierScreen.tsx,dsh/frontend/app-partner/contracts/dsh-partner-binding.contracts.ts,TBD-static-refs,yes,TBD,no,TBD,yes,TBD,2 refs across 2 files
create-order,create order,order/delivery,app-client,app-client,dsh/frontend/app-client/DshClientSurface.tsx | dsh/frontend/app-client/data/surface-catalog.preview-data.ts | dsh/frontend/app-client/dsh-client.types.ts,dsh/frontend/app-client/DshClientSurface.tsx,TBD-static-refs,yes,TBD,no,TBD,yes,TBD,3 refs across 3 files
delivery_issue,delivery_issue,support/communication,app-client,app-client,dsh/frontend/app-client/contracts/dsh-client-binding.contracts.ts,dsh/frontend/app-client/contracts/dsh-client-binding.contracts.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
dsh-captain,dsh captain,order/delivery,dsh-docs,dsh-docs,dsh/docs/archive/dsh-captain-final-classification.csv,dsh/docs/archive/dsh-captain-final-classification.csv,TBD,no,TBD,no,TBD,yes,TBD,18 refs across 1 files
dsh-captain-account,dsh captain account,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,9 refs across 2 files
dsh-captain-account-docs,dsh captain account docs,field/onboarding,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,TBD,TBD,3 refs across 2 files
dsh-captain-account-finance,dsh captain account finance,finance,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,4 refs across 2 files
dsh-captain-account-orders,dsh captain account orders,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-captain-account-profile,dsh captain account profile,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-captain-account-shifts,dsh captain account shifts,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-captain-account-support,dsh captain account support,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
