"Surface","ScreenName","UiNodeType","RelativePath","FileName","Extension","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"unknown","partnerStaff","screen","packages\surfaces\src\dsh\fixtures\partnerStaff.ts","partnerStaff.ts",".ts","0","","False","False","REVIEW_ORPHAN_SCREEN"
"unknown","partnerStoreSwitcherFixtures","component","packages\surfaces\src\dsh\partnerStoreSwitcherFixtures.ts","partnerStoreSwitcherFixtures.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","partnerZoneSet","component","packages\surfaces\src\dsh\fixtures\partnerZoneSet.ts","partnerZoneSet.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","pattern_unification.test","component","packages\surfaces\src\dsh\__tests__\pattern_unification.test.ts","pattern_unification.test.ts",".ts","11","dsh_captain_order_accept; dsh_captain_order_deliver; dsh_captain_order_get; dsh_captain_orders_list; dsh_external_order_get; dsh_order_get; dsh_orders_list; dsh_partner_order_accept; dsh_partner_order_get; dsh_partner_order_reject; dsh_partner_orders_list","False","False","MODIFY_MAJOR"
"unknown","README","component","packages\surfaces\src\dsh\app-client\mobile\assets\banners\README.md","README.md",".md","2","dsh_banner_002; dsh_banners_to_media","False","False","MODIFY_MAJOR"
"unknown","README","component","packages\surfaces\src\dsh\app-client\mobile\assets\categories\README.md","README.md",".md","1","dsh_category_icons_to_media","False","False","MODIFY_MAJOR"
"unknown","reviewsList","component","packages\surfaces\src\dsh\fixtures\reviewsList.ts","reviewsList.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","search","component","packages\surfaces\src\dsh\fixtures\search.ts","search.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","storeGet","component","packages\surfaces\src\dsh\fixtures\storeGet.ts","storeGet.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_awnak_order_create.tsx","auto_dsh_awnak_order_create.tsx",".tsx","1","dsh_awnak_order_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_booking_create.tsx","auto_dsh_booking_create.tsx",".tsx","2","dsh_booking_create; dsh_bookings","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_cart_get.tsx","auto_dsh_cart_get.tsx",".tsx","2","dsh_cart; dsh_cart_get","True","False","KEEP_REBUILD_CLEAN"
