"Operation","Source","Files","Surfaces"
"DshPartnerOrderChatMessageCreateScreen","surfaces","1","unknown"
"DshPartnerOrderChatMessagesListScreen","surfaces","1","unknown"
"DshPartnerOrderChatReadAckScreen","surfaces","1","unknown"
"DshPartnerOrdersList","surfaces","1","unknown"
"DshStoreItemsList","surfaces","1","unknown"
"expo-location.d","surfaces","1","unknown"
"favoritesList","surfaces","1","unknown"
"gasRefill","surfaces","1","unknown"
"getDshCategoryIconUrl","surfaces","1","unknown"
"home","surfaces","1","unknown"
"index","api-clients","2","unknown"
"index","services","2","unknown"
"index","surfaces","7","app-captain; app-field; app-partner; unknown"
"index.d","api-clients","1","unknown"
"index.web","api-clients","2","unknown"
"index.web.d","api-clients","1","unknown"
"jest","services","3","unknown"
"jest.config","services","1","unknown"
"loadExpoLocation","surfaces","1","unknown"
"Master_OpenAPI","master","1","unknown"
"orderCancel","surfaces","1","unknown"
"orderGet","surfaces","1","unknown"
"package","api-clients","1","unknown"
"package","services","1","unknown"
"partnerStaff","surfaces","1","unknown"
"partnerStoreSwitcherFixtures","surfaces","1","unknown"
"partnerZoneSet","surfaces","1","unknown"
"pattern_unification.test","surfaces","1","unknown"
"project","services","1","unknown"
"README","surfaces","2","unknown"
"reviewsList","surfaces","1","unknown"
"scaffold-92-ops","services","1","unknown"
"search","surfaces","1","unknown"
"setup","services","1","unknown"
"shein-proxy-request.entity","services","1","unknown"
"StoreCardPremium","surfaces","1","unknown"
"storeGet","surfaces","1","unknown"
"subscriptionSync","surfaces","1","unknown"
"ts-jest","services","3","unknown"
"tsc","services","3","unknown"
"tsconfig","api-clients","1","unknown"
"tsconfig","services","1","unknown"
"tsconfig.spec","services","1","unknown"
"tsserver","services","3","unknown"
"typed-client","api-clients","2","unknown"
"typed-client.d","api-clients","1","unknown"
"typeorm","services","3","unknown"
"typeorm-ts-node-commonjs","services","3","unknown"
"typeorm-ts-node-esm","services","3","unknown"
"types","surfaces","1","unknown"
"UltimateBannerCarousel","surfaces","1","unknown"
"useCaptainEarningsHistory","surfaces","1","unknown"
"useCaptainFinancialReports","surfaces","1","unknown"
"useCaptainOrderDetails","surfaces","1","unknown"
"useCaptainOrders","surfaces","1","unknown"
"useCaptainPayments","surfaces","1","unknown"
"useCaptainSettlements","surfaces","1","unknown"
"useCaptainTierInfo","surfaces","1","unknown"
"useCaptainWallet","surfaces","1","unknown"
"useDshCaptainDeliveryPositionPing","surfaces","1","app-captain"
"useDshCategoryGet","surfaces","1","unknown"
"useDshChatSend","surfaces","1","unknown"
"useDshCheckoutGate","surfaces","1","unknown"
"useDshFavoritesList","surfaces","1","unknown"
"useDshGasRefill","surfaces","1","unknown"
"useDshHome","surfaces","1","unknown"
"useDshOrderCancel","surfaces","1","unknown"
"useDshOrderGet","surfaces","1","unknown"
"useDshPartnerZoneSet","surfaces","1","unknown"
"useDshReviewsList","surfaces","1","unknown"
"useDshSearch","surfaces","1","unknown"
"useDshStoreGet","surfaces","1","unknown"
"useDshSubscriptionSync","surfaces","1","unknown"
"useDshZoneSet","surfaces","1","unknown"
"WHAT_TO_ADD","surfaces","1","unknown"
"wrappers","surfaces","1","unknown"
"zoneSet","surfaces","1","unknown"

