"operation_id","canonical_name","actors","surfaces","classification","trigger","state_effect","source_trace"
"dsh_order_create","dsh_order_create","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_create/OP_SPEC.yaml"
"dsh_order_escrow_hold","dsh_order_escrow_hold","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_escrow_hold/OP_SPEC.yaml"
"dsh_order_escrow_release","dsh_order_escrow_release","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_escrow_release/OP_SPEC.yaml"
"dsh_order_issue_flag","dsh_order_issue_flag","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_issue_flag/OP_SPEC.yaml"
"dsh_order_proof_code_generate","dsh_order_proof_code_generate","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_proof_code_generate/OP_SPEC.yaml"
"dsh_order_proof_verify","dsh_order_proof_verify","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_proof_verify/OP_SPEC.yaml"
"dsh_order_rate","dsh_order_rate","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_rate/OP_SPEC.yaml"
"dsh_order_receipt_get","dsh_order_receipt_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_order_receipt_get/OP_SPEC.yaml"
"dsh_order_status_update","dsh_order_status_update","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_status_update/OP_SPEC.yaml"
"dsh_orders_list","dsh_orders_list","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_orders_list/OP_SPEC.yaml"
"dsh_partner_chat_read_ack","dsh_partner_chat_read_ack","ops","app-partner","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_partner_chat_read_ack/OP_SPEC.yaml"
"dsh_partner_chat_send","dsh_partner_chat_send","ops","app-partner","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_partner_chat_send/OP_SPEC.yaml"
"dsh_partner_delivery_zones_update","dsh_partner_delivery_zones_update","ops","app-partner","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_partner_delivery_zones_update/OP_SPEC.yaml"
"dsh_partner_doc_upload","dsh_partner_doc_upload","ops","app-partner","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_partner_doc_upload/OP_SPEC.yaml"
